a_sf1,a_sf2,a_sf3,beam,defocus,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,htf_pump_power,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,m_dot_pc,m_dot_tes_dc,m_dot_tes_ch,p_cooling_tower_tot,p_cycle,p_out_net,p_tower_pump,pparasi,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,q_pb,q_thermal,q_startup,tank_losses,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,-,MWh,-,-,-,-,-,-,-,-,-,MW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,1,811.573056,0.246784,0,0,0,0,0,0,0,0,2.130136,0,0,0,0,0.324267,0.324267,0,0.015341,48.043911,45.898436,0,0,0,210.245703,0,0,0,0,0,0,0,209.077127,0,0,3.159628,563.982274,563.982274,563.982274,686.166424,542.737830,0,0,0,0,0,0,563.743490,701.881875,-1
0,0,0,0,1,602.540972,0.494215,0,0,0,0,0,0,0,0,1.944464,0,0,0,0,0.296010,0.296010,0,0.030657,96.087908,94.112786,0,0,0,196.620226,0,0,0,0,0,0,0,194.425330,0,0,3.157483,563.572431,563.572431,563.572431,685.895417,539.250035,0,0,0,0,0,0,562.945486,701.545000,-1
0,0,0,0,1,421.989132,0.495256,0,0,0,0,0,0,0,0,1.942477,0,0,0,0,0.295709,0.295709,0,0.030615,96.088056,94.114965,0,0,0,196.294792,0,0,0,0,0,0,0,194.016997,0,0,3.155225,562.945486,562.945486,562.945486,685.596875,539.048611,0,0,0,0,0,0,562.381181,701.192917,-1
0,0,0,0,1,240.151354,0.496631,0,0,0,0,0,0,0,0,1.939887,0,0,0,0,0.295316,0.295316,0,0.025099,96.086545,94.121554,0,0,0,195.863281,0,0,0,0,0,0,0,193.476545,0,0,3.157841,562.381181,562.381181,562.381181,685.203542,538.787708,0,0,0,0,0,0,561.865069,700.709236,-2
0,0,0,0,1,55.997830,0.498679,0,0,0,0,0,0,0,0,1.936034,0,0,0,0,0.294731,0.294731,0,0.024992,96.087005,94.125972,0,0,0,195.232778,0,0,0,0,0,0,0,192.683229,0,0,3.155087,561.865069,561.865069,561.865069,684.623194,538.397187,0,0,0,0,0,0,561.381944,699.935556,-2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.572377,0,0,0,0,0.087132,0.087132,0,0,0,-0.572377,0,0,0,55.728108,0,0,0,0,0,0,0,0,0,0,3.151873,561.381944,561.381944,561.381944,687.458889,546.100000,0,0,0,0,0,0,561.274479,698.733542,-2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.143405,561.274479,561.274479,561.274479,684.145000,546.100000,0,0,0,0,0,0,561.219132,697.357014,-1
0,0,0,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.129877,561.219132,561.219132,561.219132,684.145000,546.100000,0,0,0,0,0,0,561.163993,695.987222,1
398306.373333,402204.488889,766540.782222,492,1,0,0,0.122996,0.158033,0.156011,0.087468,0,0.403735,0.436066,0.444387,0,0,0,0,0,0,0,0,0,0,-1.122391,0,1.122391,0,0,0,0,0,0,0,0,0,0,0,61.427535,3.116365,561.151667,561.151667,561.151667,684.145000,546.100000,200.593854,200.593854,200.593854,200.593854,200.593854,200.593854,561.121319,694.929306,3
381592.635556,430120.422222,749550.373333,862.000009,1.000000,228.049549,0.174106,0.473988,0.626951,0.567456,0.342479,0.687029,0.687778,0.683734,0.689577,1.430092,825.681580,722.134089,776.904246,825.682241,0.286754,0.286763,0.754659,0.039115,36.050707,27.266329,6.067873,1.247300,500.600347,179.609358,133.507378,143.353681,152.104431,558.234098,180.470569,184.117698,193.645813,189.409280,438.278698,61.778129,3.115203,689.363941,689.114618,688.904948,689.636163,544.620356,576.703429,584.578151,584.827439,712.766016,712.766016,712.766016,561.277812,702.075035,6.000000
413425.208889,479994.880000,689354.026667,749,1,578.360833,0.463465,0.520077,0.652165,0.569204,0.406652,0.780763,0.783836,0.777650,0.780804,1.527651,886.999941,802.719062,859.464352,887.000650,0.306731,0.306731,0.827532,0.126520,96.107865,86.603247,6.653813,1.196635,549.205069,196.276563,148.404774,158.608472,163.552240,616.549973,201.946578,204.638169,209.965191,207.367899,481.371424,0,3.115281,707.789792,707.525000,707.401806,692.207639,543.043056,573.895521,583.521111,583.785903,730,730,730,561.374549,705.043611,8
421730.417778,532562.595556,627630.791111,761,1,851.609097,0.461762,0.534256,0.655595,0.531377,0.455166,0.786019,0.788531,0.784244,0.785283,1.509772,925.521541,844.203816,913.694519,925.522281,0.307233,0.307233,0.871112,0.142149,96.103542,86.251476,7.004225,1.195920,577.125347,196.677743,155.808368,168.277344,170.396580,643.160533,210.404462,215.356356,217.399698,208.123576,505.522500,0,3.112250,707.603125,707.294028,707.243472,692.668611,543.299236,574.429306,583.771458,584.080486,730,730,730,561.470590,705.529375,9
423021.120000,587784.782222,570694.151111,844,1,1183.300972,0.458430,0.535983,0.656859,0.484668,0.499238,0.800653,0.802724,0.799736,0.799500,1.451179,1046.610963,961.508404,1044.460134,1046.611800,0.308448,0.308448,0.990958,0.161959,96.149193,85.372561,7.967852,1.195645,653.861667,196.875191,176.739497,191.553003,191.936736,715.422862,234.518222,240.438969,240.465671,209.736024,572.793437,0,3.108128,707.105833,706.776389,706.768194,692.938472,543.170729,575.020625,584.364792,584.694167,730,730,730,561.621771,705.672431,10
420168.533333,644759.324444,518385.457778,676,1,1391.562500,0.464059,0.531660,0.657523,0.439909,0.543761,0.770966,0.774884,0.769532,0.768481,1.574438,796.449264,732.663579,796.449901,792.141276,0.306273,0.306273,0.753556,0.161410,96.109045,87.117222,6.059007,1.196965,500.490347,197.103090,135.529097,147.007639,146.233212,569.045938,186.758916,191.737564,190.549440,207.105087,438.698264,0,3.108941,708.179722,707.860625,707.881528,692.819583,543.606424,573.635278,583.442083,583.761111,730,730,730,561.683194,705.919653,10
405173.973333,705628.515556,468006.293333,481,1,1456.444861,0.468910,0.511505,0.654493,0.386541,0.576128,0.721288,0.726586,0.719675,0.717603,1.722259,504.116188,463.491334,504.116591,497.908230,0.304309,0.304309,0.475757,0.136505,96.135382,89.257717,3.825349,1.193555,319.588368,198.309045,86.689418,94.097057,92.966163,388.440782,127.553182,131.194738,129.692844,205.019045,280.163854,0,3.114672,709.868125,709.568403,709.612847,692.596181,543.680000,571.685868,581.815069,582.114826,730,730,730,561.588299,706.175208,9
371118.257778,751449.315556,412058.133333,501,1,1490.452500,0.469389,0.454342,0.609689,0.317066,0.564771,0.705319,0.709001,0.705725,0.701231,1.751793,447.983644,399.972547,447.984003,435.929672,0.304107,0.304107,0.416791,0.103729,96.148854,89.781936,3.351230,1.160170,281.027882,198.985174,75.111823,83.903802,81.698967,349.319360,113.359573,119.367893,116.591893,204.838142,246.370764,0,3.124972,710.373819,709.977222,710.073264,692.659028,543.752396,570.895937,581.214514,581.611076,730,730,730,561.462778,706.385486,7
0,0,0,0,1,1306.467500,0.479331,0,0,0,0,0,0,0,0,1.974394,0,0,0,0,0.300552,0.300552,0,0.072029,96.139106,94.092682,0,0,0,201.573646,0,0,0,0,0,0,0,200.569531,0,0,3.134155,561.462778,561.462778,561.462778,690.318750,542.215556,0,0,0,0,0,0,561.087778,706.232083,5
0,0,0,0,1,1121.921181,0.479845,0,0,0,0,0,0,0,0,1.973464,0,0,0,0,0.300411,0.300411,0,0.063040,96.149453,94.112943,0,0,0,201.421806,0,0,0,0,0,0,0,200.376024,0,0,3.137861,561.087778,561.087778,561.087778,690.161111,542.100903,0,0,0,0,0,0,560.762292,706.057500,4
0,0,0,0,1,936.756458,0.480433,0,0,0,0,0,0,0,0,1.972251,0,0,0,0,0.300227,0.300227,0,0.063062,96.147908,94.112595,0,0,0,201.220660,0,0,0,0,0,0,0,200.127535,0,0,3.136632,560.762292,560.762292,560.762292,689.981528,541.979340,0,0,0,0,0,0,560.474896,705.855556,4
0,0,0,0,1,750.862153,0.481128,0,0,0,0,0,0,0,0,1.970969,0,0,0,0,0.300032,0.300032,0,0.055332,96.158941,94.132639,0,0,0,201.011302,0,0,0,0,0,0,0,199.861632,0,0,3.140389,560.474896,560.474896,560.474896,689.769861,541.827361,0,0,0,0,0,0,560.215417,705.615625,3
0,0,0,0,1,564.111667,0.481965,0,0,0,0,0,0,0,0,1.969253,0,0,0,0,0.299772,0.299772,0,0.055338,96.156736,94.132144,0,0,0,200.726823,0,0,0,0,0,0,0,199.509931,0,0,3.139108,560.215417,560.215417,560.215417,689.515625,541.655486,0,0,0,0,0,0,559.977222,705.320764,3
0,0,0,0,1,376.272153,0.483025,0,0,0,0,0,0,0,0,1.967086,0,0,0,0,0.299443,0.299443,0,0.055346,96.153958,94.131528,0,0,0,200.368281,0,0,0,0,0,0,0,199.066146,0,0,3.137698,559.977222,559.977222,559.977222,689.194931,541.438750,0,0,0,0,0,0,559.753472,704.937986,3
0,0,0,0,1,186.845608,0.484476,0,0,0,0,0,0,0,0,1.964296,0,0,0,0,0.299020,0.299020,0,0.048613,96.164019,94.151111,0,0,0,199.909983,0,0,0,0,0,0,0,198.490677,0,0,3.141000,559.753472,559.753472,559.753472,688.757986,541.134236,0,0,0,0,0,0,559.536319,704.391111,2
0,0,0,0,1,0,0.483421,0,0,0,0,0,0,0,0,1.894447,0,0,0,0,0.288377,0.288377,0,0,88.731858,86.837413,0,0,0,184.902014,0,0,0,0,0,0,0,183.549861,0,0,3.139073,559.536319,559.536319,559.536319,688.811597,547.294479,0,0,0,0,0,0,559.625486,703.441597,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.136072,559.625486,559.625486,559.625486,684.145000,546.100000,0,0,0,0,0,0,559.570590,702.061806,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.132500,559.570590,559.570590,559.570590,684.145000,546.100000,0,0,0,0,0,0,559.515694,700.684653,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.128935,559.515694,559.515694,559.515694,684.145000,546.100000,0,0,0,0,0,0,559.460799,699.310278,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125376,559.460799,559.460799,559.460799,684.145000,546.100000,0,0,0,0,0,0,559.405938,697.938542,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.126806,559.405938,559.405938,559.405938,684.145000,546.100000,0,0,0,0,0,0,559.350937,696.567569,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.123255,559.350937,559.350937,559.350937,684.145000,546.100000,0,0,0,0,0,0,559.295972,695.199306,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.119712,559.295972,559.295972,559.295972,684.145000,546.100000,0,0,0,0,0,0,559.241007,693.833681,1
0,0,0,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.106211,559.241007,559.241007,559.241007,684.145000,546.100000,0,0,0,0,0,0,559.186250,692.474722,3
398433.422222,401939.795556,766731.893333,262.000004,1.000000,0,0,0.291770,0.374828,0.370300,0.207441,0,0.096020,0.104919,0.107509,0,0,0,0,0,0,0,0,0,0,-1.924935,0,1.924935,0,0,0,0,0,0,0,0,0,0,0,61.582318,3.092727,559.177691,559.177691,559.177691,684.145017,546.099983,476.274688,476.274688,476.274688,476.274688,476.274688,476.274688,559.140260,691.334905,5.000000
381522.955556,429716.711111,749967.982222,859.999983,1,220.081128,0.174672,0.473930,0.627019,0.567838,0.342244,0.687640,0.688193,0.684466,0.690260,1.444471,814.900306,714.562962,766.772169,814.900958,0.288045,0.288062,0.745313,0.049939,36.016048,27.281421,5.992729,1.247490,500.184497,180.048906,133.648346,143.144288,151.880447,556.626791,179.965902,183.567440,193.093449,189.010347,437.583038,61.771376,3.095840,688.875677,688.632951,688.421372,688.590703,544.324809,575.499045,583.069809,583.312535,712.717326,712.717326,712.717326,559.375382,700.659115,8
413472.888889,479573.262222,689741.582222,888,1,661.115347,0.459039,0.520095,0.652159,0.569681,0.406451,0.805090,0.806639,0.802409,0.806221,1.432320,1079.697146,978.073197,1045.329429,1079.698009,0.308352,0.308352,1.007218,0.191310,96.098255,85.179462,8.098592,1.196580,672.202222,196.649931,181.854705,194.005868,200.205347,731.001244,239.449120,242.604924,248.947218,209.346753,588.523819,0,3.093648,706.761528,706.493264,706.361806,691.629167,542.021875,573.668924,582.667153,582.935417,730,730,730,559.607326,704.312222,11
421826.097778,532083.768889,627996.871111,909,1,1030.900903,0.456533,0.534331,0.655543,0.531906,0.454967,0.812673,0.813893,0.811404,0.812723,1.452439,1138.933570,1035.260957,1123.810953,1138.934482,0.316371,0.316371,1.070495,0.389447,99.704670,88.059497,8.607369,1.195920,712.499028,203.687639,191.989323,207.937483,210.657066,768.342471,251.361156,257.263840,259.717458,218.395260,624.404306,0,3.086013,706.556944,706.223056,706.168333,691.983542,540.100625,573.561667,583.050417,583.384236,730,730,730,559.736458,704.776458,13
