Receiver_1_inlet_temp,Receiver_2_particle_mass_flow,Operating_mode_3,Operating_mode_1,Operating_mode_2,Receiver_3_HTF_mass_flow,PC_efficiency,TES_V_hot_tank_initial,PC_power,Receiver_1_outlet_temp,PC_outlet_temp,DNI,Receiver_2_inlet_temp,Tower_HTF_outlet_temp,Receiver_2_outlet_temp,Receiver_3_inlet_temp,PC_mass_flow,Receiver_3_outlet_temp,HX_1_particle_outlet_temp,HX_2_particle_outlet_temp,HX_3_particle_outlet_temp,Receiver_1_HTF_mass_flow,Receiver_1_particle_mass_flow,Receiver_2_HTF_mass_flow,Receiver_3_particle_mass_flow,TES_discharge_mass_flow,Tower_HTF_inlet_temp,TES_hot_tank_temp,TES_cold_tank_temp,TES_charge_mass_flow,PC_inlet_temp
C,kg/hr,-,-,-,kg/hr,-,-,MWe,C,C,W/m^2,C,C,C,C,kg/hr,C,C,C,C,kg/hr,kg/hr,kg/hr,kg/hr,kg/hr,C,C,C,kg/hr,C
0,0,0,8,23,0,0.242922,0.283447,50.024436,0,533.601354,0,0,0,0,0,1061.518420,0,546.660625,546.660625,546.660625,0,0,0,0,1061.518420,561.200000,714.815729,546.636701,0,701.625799
0,0,0,23,0,0,0.487073,0.239041,100.050712,0,529.577118,0,0,0,0,0,969.708089,0,546.552153,546.552153,546.552153,0,0,0,0,969.708089,561.200000,714.454514,546.236771,0,701.315139
0,0,0,23,0,0,0.489017,0.183371,100.053576,0,529.379757,0,0,0,0,0,968.707081,0,546.236771,546.236771,546.236771,0,0,0,0,968.707081,561.200000,714.091042,545.944132,0,700.997292
0,0,0,23,0,0,0.491460,0.127761,100.063090,0,529.132674,0,0,0,0,0,967.507358,0,545.944132,545.944132,545.944132,0,0,0,0,967.507358,561.200000,713.620000,545.670035,0,700.600903
0,0,0,23,0,0,0.494822,0.072222,100.068290,0,528.797604,0,0,0,0,0,965.806775,0,545.670035,545.670035,545.670035,0,0,0,0,965.806775,561.200000,712.951806,545.404167,0,700.060486
0,0,0,16,0,0,0,0.016784,0,0,537.500000,0,0,0,0,0,292.251793,0,545.404167,545.404167,545.404167,0,0,0,0,292.251793,561.200000,712.052222,545.374028,0,702.478750
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,545.374028,545.374028,545.374028,0,0,0,0,0,561.200000,711.074653,545.311563,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,176,0,0,0,0,0,0,545.311563,545.311563,545.311563,0,0,0,0,0,561.200000,710.101181,545.249340,0,700
561.200000,0,0,2,0,0,0,0,0,561.200000,537.500000,492,561.200000,561.200000,561.200000,561.200000,0,561.200000,545.249340,545.249340,545.249340,0,0,0,0,0,561.200000,709.131736,545.187326,0,700
562.726771,4343118.791111,0,32,11,2904303.644444,0.222568,0.049955,50.094084,730,532.629410,862,560.200295,559.424392,730,560.088403,1123.488435,730,715.004896,715.116806,715.780833,3875246.222222,4523851.520000,3720425.955556,3390400.995556,1123.492583,562.726771,712.644653,545.105625,3404.825284,698.385139
559.917465,3809444.977778,0,11,0,3044466.631111,0.444080,0.153128,100.187422,730,522.586285,749,559.867708,559.348438,730,559.533403,1032.409837,730,715.120417,715.454722,715.639722,3692000.995556,4309872.640000,3263315.911111,3553970.631111,1032.409837,559.917465,713.443819,544.222882,3242.580069,699.287569
561.200000,3986337.564444,0,11,0,3361283.697778,0.443988,0.253541,100.187352,730,526.926250,761,559.248194,558.907708,730,558.950660,1057.553936,730,714.974653,715.272222,715.315139,3807194.168889,4444112.213333,3415026.631111,3923603.911111,1057.553936,561.200000,713.661875,543.650556,3431.681580,699.339792
567.159063,4427849.671111,0,11,0,3900084.906667,0.444637,0.361829,100.187813,730,550.085347,844,559.128264,558.788785,730,558.711806,1222.471269,730,714.522292,714.938750,714.861736,4400896.568889,5136936.960000,3793409.991111,4552365.511111,1222.471269,567.159063,713.711319,544.944965,3921.431072,698.972014
559.947222,3314810.880000,0,11,0,3053694.577778,0.443221,0.484766,100.026467,730,522.352778,676,559.550243,559.316632,730,559.125104,1027.646973,730,715.394722,715.819861,715.628333,3332843.804444,3890597.262222,2839601.777778,3564732.586667,1027.646973,559.947222,713.848958,543.700035,2991.705758,699.604167
590.158125,1992806.257778,0,11,0,1991859.626667,0.442906,0.573089,100.186580,730,592.403125,481,557.743785,557.067743,730,556.690139,1680.555299,730,715.956250,717.009931,716.632292,2599537.493333,3034314.524444,1707263.573333,2325001.528889,1680.555299,590.158125,713.954097,552.451632,2042.256277,699.956806
563.223611,1644629.760000,0,11,0,2095052.088889,0.441942,0.576960,99.910408,730,523.204514,501,565.170833,565.315382,730,564.398889,1026.671012,730,717.280833,718.052708,717.136250,1971265.564444,2302335.573333,1408136.106667,2446911.715556,1026.671012,563.223611,714.117847,550.410764,1776.076958,700.264444
0,0,0,23,0,0,0.490357,0.605412,100.029288,0,529.248646,0,0,0,0,0,967.798360,0,550.410764,550.410764,550.410764,0,0,0,0,967.798360,561.200000,713.985486,549.447118,0,700.779167
0,0,0,23,0,0,0.491181,0.549856,100.033438,0,529.165903,0,0,0,0,0,967.405511,0,549.447118,549.447118,549.447118,0,0,0,0,967.405511,561.200000,713.840972,548.654618,0,700.645694
0,0,0,23,0,0,0.492086,0.494323,100.034141,0,529.075938,0,0,0,0,0,966.942894,0,548.654618,548.654618,548.654618,0,0,0,0,966.942894,561.200000,713.682083,547.988993,0,700.499583
0,0,0,23,0,0,0.493090,0.438818,100.039019,0,528.975590,0,0,0,0,0,966.464553,0,547.988993,547.988993,547.988993,0,0,0,0,966.464553,561.200000,713.505347,547.419236,0,700.337847
0,0,0,23,0,0,0.494215,0.383342,100.040043,0,528.864340,0,0,0,0,0,965.893373,0,547.419236,547.419236,547.419236,0,0,0,0,965.893373,561.200000,713.306667,546.923681,0,700.157222
0,0,0,23,0,0,0.495159,0.327899,100.036528,0,528.704896,0,0,0,0,0,965.601106,0,546.923681,546.923681,546.923681,0,0,0,0,965.601106,561.200000,713.079792,546.486042,0,699.951736
0,0,0,23,0,0,0.494960,0.272474,100.038490,0,528.374514,0,0,0,0,0,966.752711,0,546.486042,546.486042,546.486042,0,0,0,0,966.752711,561.200000,712.815000,546.093472,0,699.710625
0,0,0,23,0,0,0.494727,0.216984,100.035903,0,527.985347,0,0,0,0,0,968.071664,0,546.093472,546.093472,546.093472,0,0,0,0,968.071664,561.200000,712.497569,545.736389,0,699.425833
