a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,523.933958,0.245958,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,51.981450,50.070091,0,223.032439,0,0,0,0,0,0,0,546.679618,546.679618,546.679618,702.332431,532.845868,0,0,0,0,0,0,546.581094,714.789340,-1
0,0,0,0,282.646840,0.492778,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,104.091345,102.312986,0,213.410538,0,0,0,0,0,0,0,546.402951,546.402951,546.402951,701.852361,527.961667,0,0,0,0,0,0,545.766771,714.304792,-1
0,0,0,0,82.548342,0.494458,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,104.340842,102.562491,0,213.337153,0,0,0,0,0,0,0,545.766771,545.766771,545.766771,701.332431,527.513819,0,0,0,0,0,0,545.198160,713.612986,-1
0,0,0,0,0,0.439037,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,50.003472,49.279527,0,115.664054,0,0,0,0,0,0,0,545.198160,545.198160,545.198160,698.917708,465.815625,0,0,0,0,0,0,542.976076,712.344931,-2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.976076,542.976076,542.976076,700,537.500000,0,0,0,0,0,0,542.913056,710.694792,-2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.913056,542.913056,542.913056,700,537.500000,0,0,0,0,0,0,542.850035,709.048403,-2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.850035,542.850035,542.850035,700,537.500000,0,0,0,0,0,0,542.787153,707.408194,-1
0,0,0,176,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.787153,542.787153,542.787153,700,537.500000,0,0,0,0,0,0,542.724514,705.776319,1
536287.040000,562476.622222,665262.577778,492,0,0,0.333625,0.387848,0.403373,0.230942,0.333679,0.337537,0.350818,0.312680,176.574459,163.805563,176.574601,106.666673,0,-3.365518,0,0,36.301039,39.094484,23.758401,144.850178,51.193480,55.842804,37.813893,630.656267,630.574670,631.102517,698.178368,537.500000,562.073003,557.695503,557.777118,645.642847,645.642847,645.642847,542.677708,704.558507,3
