type,power,tht,az,zen,sunid,eta1,eta2,eta3,a1,a2,a3
1,828,196,70.425,76.8492,0,0.3714,0.5106,0.2695,491080,346874,682816
1,828,196,85.3915,52.8545,1,0.4819,0.5833,0.3857,495453,405146,620171
1,828,196,105.5788,28.4391,2,0.5196,0.5767,0.4667,503628,455052,562090
1,828,196,180.000005,11.4294,3,0.5343,0.5321,0.5327,507050,506385,507335
1,828,196,254.415,28.4343,4,0.5201,0.4682,0.5666,505719,555245,459805
1,828,196,274.6048,52.8492,5,0.4817,0.3802,0.5812,494312,616939,409518
1,828,196,289.571,76.8447,6,0.3789,0.2648,0.5342,489274,682246,349250
1,828,196,76.173,80.5559,7,0.3367,0.4552,0.2352,481479,347634,691657
1,828,196,92.6509,56.1569,8,0.4949,0.5881,0.386,488038,405621,627111
1,828,196,116.5394,32.3797,9,0.5298,0.5766,0.4729,501632,457904,561234
1,828,196,180.000005,18.2432,10,0.5451,0.5409,0.539,504864,506099,509807
1,828,196,243.393,32.407,11,0.5345,0.4692,0.5824,499730,561519,459520
1,828,196,267.2524,56.2034,12,0.4867,0.3779,0.5902,488418,624449,407902
1,828,196,283.709,80.6307,13,0.3416,0.2327,0.4664,481574,687664,351532
1,828,196,98.8891,59.5785,14,0.502,0.5969,0.3843,486422,405051,629297
1,828,196,124.6163,36.7119,15,0.5469,0.5816,0.4762,496023,461801,562945
1,828,196,180.000005,24.546,16,0.5593,0.5451,0.544,498495,510282,511993
1,828,196,235.3146,36.7534,17,0.5402,0.4775,0.5829,495928,561900,462942
1,828,196,260.9989,59.6425,18,0.5006,0.3763,0.5988,482334,630533,407902
1,828,196,104.9787,63.4725,19,0.5146,0.5947,0.385,479768,406001,635001
1,828,196,131.4383,41.7413,20,0.5517,0.586,0.4836,491840,463132,565797
1,828,196,180.000005,31.1691,21,0.565,0.5504,0.5463,497734,510282,512754
1,828,196,228.4937,41.7875,22,0.5532,0.4811,0.5887,494407,563516,462847
1,828,196,254.9035,63.5441,23,0.5153,0.3798,0.6053,479578,631293,409899
1,828,196,110.3156,67.3367,24,0.517,0.5886,0.3833,476536,408473,635761
1,828,196,136.6854,46.7518,25,0.5618,0.5902,0.4835,490890,463988,565892
1,828,196,179.96573,37.3717,26,0.5732,0.5563,0.5479,496213,509902,514655
1,828,196,223.2577,46.8026,27,0.5618,0.478,0.5888,489749,563231,467790
1,828,196,249.5732,67.415,28,0.5197,0.3778,0.6035,476251,634430,410089
1,828,196,115.8588,71.7842,29,0.5081,0.5787,0.3789,476821,411039,632909
1,828,196,141.5371,52.5042,30,0.5628,0.5886,0.4807,486422,465509,568839
1,828,196,179.97203,44.2045,31,0.5811,0.5527,0.5537,491650,511898,517221
1,828,196,218.4204,52.5555,32,0.5676,0.4844,0.5932,488989,565417,466364
1,828,196,244.0448,71.8635,33,0.5112,0.3734,0.5868,474444,631674,414652
1,828,196,121.0339,76.3037,34,0.4745,0.5327,0.3674,477201,419215,624354
1,828,196,145.6153,58.3232,35,0.5717,0.588,0.4917,486612,467315,566843
1,828,196,180.000005,50.9155,36,0.5863,0.555,0.5563,488799,514750,517221
1,828,196,214.3497,58.3627,37,0.5728,0.4881,0.5932,486327,565417,469026
1,828,196,238.8858,76.3673,38,0.4821,0.3613,0.5518,477391,623499,419880
1,828,196,126.541,81.4167,39,0.3901,0.4245,0.3121,481859,432333,606578
1,828,196,149.5643,64.8729,40,0.5697,0.5835,0.4838,486897,467980,565892
1,828,196,180.000005,58.3033,41,0.5851,0.5537,0.5546,489939,514750,516081
1,828,196,210.4317,64.8717,42,0.5647,0.486,0.5828,484521,564942,471307
1,828,196,233.4556,81.4148,43,0.3935,0.3042,0.4364,482715,603536,434519
1,828,294,70.425,76.8492,0,0.3859,0.4902,0.32,427390,329763,521784
1,828,294,85.3915,52.8545,1,0.5563,0.668,0.4802,426249,353718,498970
1,828,294,105.5788,28.4391,2,0.6151,0.6759,0.5759,430146,389651,459140
1,828,294,180.000005,11.4294,3,0.6337,0.643,0.6413,431002,422637,425298
1,828,294,254.415,28.4343,4,0.6123,0.5741,0.6733,430907,456288,391742
1,828,294,274.6048,52.8492,5,0.5558,0.4756,0.6732,427770,496593,354574
1,828,294,289.571,76.8447,6,0.3917,0.316,0.5064,427485,522735,328717
1,828,294,76.173,80.5559,7,0.3086,0.378,0.2672,430432,344783,503723
1,828,294,92.6509,56.1569,8,0.5683,0.6773,0.4801,423492,351722,503723
1,828,294,116.5394,32.3797,9,0.6252,0.6848,0.5822,428530,390126,460281
1,828,294,180.000005,18.2432,10,0.6444,0.6499,0.6489,429196,423873,425869
1,828,294,243.393,32.407,11,0.6236,0.5793,0.6826,428435,458379,392122
1,828,294,267.2524,56.2034,12,0.5678,0.4731,0.6816,422637,502392,353908
1,828,294,283.709,80.6307,13,0.311,0.2651,0.3862,431002,500966,346969
1,828,294,98.8891,59.5785,14,0.5772,0.6811,0.4759,417504,352197,509236
1,828,294,124.6163,36.7119,15,0.6331,0.6918,0.586,427200,390221,461516
1,828,294,180.000005,24.546,16,0.6545,0.6565,0.6535,427295,424063,427580
1,828,294,235.3146,36.7534,17,0.6327,0.5823,0.6903,426819,460376,391742
1,828,294,260.9989,59.6425,18,0.5748,0.4743,0.689,420545,504674,353718
1,828,294,104.9787,63.4725,19,0.5814,0.6845,0.4778,417504,351627,509807
1,828,294,131.4383,41.7413,20,0.6401,0.6962,0.5865,425203,390031,463703
1,828,294,180.000005,31.1691,21,0.6581,0.6612,0.6607,427960,424443,426534
1,828,294,228.4937,41.7875,22,0.6432,0.5854,0.6926,423873,461421,393643
1,828,294,254.9035,63.5441,23,0.5843,0.4724,0.6927,416933,508191,353813
1,828,294,110.3156,67.3367,24,0.575,0.6684,0.4676,415697,353148,510092
1,828,294,136.6854,46.7518,25,0.6482,0.6978,0.5885,423397,390697,464843
1,828,294,179.96573,37.3717,26,0.666,0.6632,0.6612,425774,425298,427865
1,828,294,223.2577,46.8026,27,0.6454,0.5858,0.6989,423397,462752,392788
1,828,294,249.5732,67.415,28,0.5774,0.4625,0.6805,415983,508381,354574
1,828,294,115.8588,71.7842,29,0.551,0.6249,0.4462,412751,359422,506765
1,828,294,141.5371,52.5042,30,0.6495,0.6926,0.5898,421496,393073,464368
1,828,294,179.97203,44.2045,31,0.6677,0.6637,0.6626,424253,426059,428626
1,828,294,218.4204,52.5555,32,0.6525,0.5851,0.6972,420070,464083,394784
1,828,294,244.0448,71.8635,33,0.553,0.4428,0.6346,413511,503628,361798
1,828,294,121.0339,76.3037,34,0.4954,0.5442,0.4077,413036,369213,496688
1,828,294,145.6153,58.3232,35,0.6518,0.6902,0.5872,419310,393168,466459
1,828,294,180.000005,50.9155,36,0.6704,0.6613,0.6597,422637,426629,429671
1,828,294,214.3497,58.3627,37,0.6551,0.584,0.6961,419310,464178,395450
1,828,294,238.8858,76.3673,38,0.4956,0.4009,0.556,413036,495928,369974
1,828,294,126.541,81.4167,39,0.3412,0.3404,0.305,414176,404765,459995
1,828,294,149.5643,64.8729,40,0.6447,0.6724,0.5809,419310,395164,464463
1,828,294,180.000005,58.3033,41,0.6683,0.6558,0.6588,423017,426724,429196
1,828,294,210.4317,64.8717,42,0.6427,0.5786,0.6814,420736,460756,397446
1,828,294,233.4556,81.4148,43,0.343,0.2999,0.3509,415412,458379,405146
1,828,245,70.425,76.8492,0,0.3865,0.5188,0.3014,448113,326816,581957
1,828,245,85.3915,52.8545,1,0.5328,0.6474,0.4422,446687,367217,542983
1,828,245,105.5788,28.4391,2,0.5851,0.6406,0.5372,454102,410279,492506
1,828,245,180.000005,11.4294,3,0.5974,0.6038,0.6034,456098,449158,451630
1,828,245,254.415,28.4343,4,0.5851,0.5322,0.6384,452200,491840,412846
1,828,245,274.6048,52.8492,5,0.5328,0.4368,0.6418,448683,539275,368928
1,828,245,289.571,76.8447,6,0.3922,0.2983,0.5332,449063,579391,328432
1,828,245,76.173,80.5559,7,0.3267,0.4267,0.2572,446687,335467,574733
1,828,245,92.6509,56.1569,8,0.5467,0.6553,0.4411,442219,365981,548686
1,828,245,116.5394,32.3797,9,0.5971,0.6473,0.5424,451155,411610,494122
1,828,245,180.000005,18.2432,10,0.6108,0.6087,0.612,452771,452010,452105
1,828,245,243.393,32.407,11,0.5902,0.5401,0.6463,454007,490890,411990
1,828,245,267.2524,56.2034,12,0.5396,0.4355,0.6559,443455,545835,367597
1,828,245,283.709,80.6307,13,0.3308,0.2546,0.4367,448493,570360,338033
1,828,245,98.8891,59.5785,14,0.5537,0.6541,0.4413,438607,366266,552013
1,828,245,124.6163,36.7119,15,0.6046,0.6586,0.5446,449919,410184,496784
1,828,245,180.000005,24.546,16,0.6212,0.6159,0.6138,450299,452200,454387
1,828,245,235.3146,36.7534,17,0.6044,0.5405,0.657,449158,494882,412846
1,828,245,260.9989,59.6425,18,0.5505,0.4351,0.6612,439272,549732,367882
1,828,245,104.9787,63.4725,19,0.5644,0.6567,0.4423,433188,367787,555911
1,828,245,131.4383,41.7413,20,0.6147,0.6612,0.5489,447162,411705,498019
1,828,245,180.000005,31.1691,21,0.631,0.6203,0.6198,448493,453056,455337
1,828,245,228.4937,41.7875,22,0.6064,0.5457,0.662,447067,496023,413796
1,828,245,254.9035,63.5441,23,0.5621,0.4346,0.671,436420,553629,366837
1,828,245,110.3156,67.3367,24,0.5568,0.6509,0.4386,434804,367977,554105
1,828,245,136.6854,46.7518,25,0.6163,0.6585,0.5487,443170,413416,500301
1,828,245,179.96573,37.3717,26,0.6364,0.6244,0.6221,448018,454102,454767
1,828,245,223.2577,46.8026,27,0.6106,0.5488,0.6641,445926,495453,415507
1,828,245,249.5732,67.415,28,0.5604,0.4285,0.6628,434424,553439,369023
