D_tube_inch,L_tube_m,m_dot_frac_eta,T_in_C,mdot_Tin_id,eta,m_dot_frac_dP,P_in_kPa,mdot_Pin_id,dP_kPa
0.25,1.731,1.2,515,0,0.89,1.2,25000,0,684.6
0.25,1.731,1.2,524.5,1,0.8876,1.2,24000,1,711.9
0.25,1.731,1.2,534,2,0.8848,1.2,23000,2,741.7
0.25,1.731,1.2,543.5,3,0.8818,1.2,22000,3,774.3
0.25,1.731,1.2,553,4,0.8785,1.2,21000,4,810.3
0.25,1.731,1.2,562.5,5,0.8748,1.2,20000,5,850
0.25,1.731,1.2,572,6,0.8707,1.2,19000,6,894.3
0.25,1.731,1.2,581.5,7,0.8661,1.2,18000,7,943.8
0.25,1.731,1.2,591,8,0.8609,1.2,17000,8,999.6
0.25,1.731,1.2,600.5,9,0.855,1.2,16000,9,1063
0.25,1.731,1.2,610,10,0.8483,1.2,15000,10,1136
0.25,1.731,1.085,515,11,0.8849,1.081,25000,11,560.3
0.25,1.731,1.085,524.5,12,0.8821,1.081,24000,12,582.5
0.25,1.731,1.085,534,13,0.8791,1.081,23000,13,606.7
0.25,1.731,1.085,543.5,14,0.8758,1.081,22000,14,633.3
0.25,1.731,1.085,553,15,0.8721,1.081,21000,15,662.5
0.25,1.731,1.085,562.5,16,0.8681,1.081,20000,16,694.7
0.25,1.731,1.085,572,17,0.8636,1.081,19000,17,730.6
0.25,1.731,1.085,581.5,18,0.8586,1.081,18000,18,770.7
0.25,1.731,1.085,591,19,0.8529,1.081,17000,19,815.8
0.25,1.731,1.085,600.5,20,0.8465,1.081,16000,20,867
0.25,1.731,1.085,610,21,0.8392,1.081,15000,21,925.6
0.25,1.731,0.97,515,22,0.8785,0.962,25000,22,448.4
0.25,1.731,0.97,524.5,23,0.8754,0.962,24000,23,466.1
0.25,1.731,0.97,534,24,0.8721,0.962,23000,24,485.4
0.25,1.731,0.97,543.5,25,0.8684,0.962,22000,25,506.5
0.25,1.731,0.97,553,26,0.8643,0.962,21000,26,529.8
0.25,1.731,0.97,562.5,27,0.8599,0.962,20000,27,555.4
0.25,1.731,0.97,572,28,0.8549,0.962,19000,28,583.9
0.25,1.731,0.97,581.5,29,0.8494,0.962,18000,29,615.6
0.25,1.731,0.97,591,30,0.8432,0.962,17000,30,651.4
0.25,1.731,0.97,600.5,31,0.8361,0.962,16000,31,691.9
0.25,1.731,0.97,610,32,0.8281,0.962,15000,32,738.1
0.25,1.731,0.855,515,33,0.8704,0.843,25000,33,349
0.25,1.731,0.855,524.5,34,0.867,0.843,24000,34,362.7
0.25,1.731,0.855,534,35,0.8632,0.843,23000,35,377.6
0.25,1.731,0.855,543.5,36,0.8591,0.843,22000,36,394
0.25,1.731,0.855,553,37,0.8546,0.843,21000,37,411.9
0.25,1.731,0.855,562.5,38,0.8496,0.843,20000,38,431.8
0.25,1.731,0.855,572,39,0.8441,0.843,19000,39,453.7
0.25,1.731,0.855,581.5,40,0.838,0.843,18000,40,478.3
0.25,1.731,0.855,591,41,0.8311,0.843,17000,41,505.8
0.25,1.731,0.855,600.5,42,0.8233,0.843,16000,42,537
0.25,1.731,0.855,610,43,0.8145,0.843,15000,43,572.5
0.25,1.731,0.74,515,44,0.8601,0.724,25000,44,261.8
0.25,1.731,0.74,524.5,45,0.8562,0.724,24000,45,272.1
0.25,1.731,0.74,534,46,0.8519,0.724,23000,46,283.2
0.25,1.731,0.74,543.5,47,0.8473,0.724,22000,47,295.4
0.25,1.731,0.74,553,48,0.8422,0.724,21000,48,308.9
0.25,1.731,0.74,562.5,49,0.8365,0.724,20000,49,323.6
0.25,1.731,0.74,572,50,0.8303,0.724,19000,50,340
0.25,1.731,0.74,581.5,51,0.8235,0.724,18000,51,358.3
0.25,1.731,0.74,591,52,0.8157,0.724,17000,52,378.8
0.25,1.731,0.74,600.5,53,0.8071,0.724,16000,53,401.9
0.25,1.731,0.74,610,54,0.7972,0.724,15000,54,428.3
0.25,1.731,0.625,515,55,0.8462,0.605,25000,55,186.9
0.25,1.731,0.625,524.5,56,0.8417,0.605,24000,56,194.2
0.25,1.731,0.625,534,57,0.8368,0.605,23000,57,202.2
0.25,1.731,0.625,543.5,58,0.8315,0.605,22000,58,210.9
0.25,1.731,0.625,553,59,0.8256,0.605,21000,59,220.4
0.25,1.731,0.625,562.5,60,0.8192,0.605,20000,60,230.9
0.25,1.731,0.625,572,61,0.8122,0.605,19000,61,242.5
0.25,1.731,0.625,581.5,62,0.8043,0.605,18000,62,255.5
0.25,1.731,0.625,591,63,0.7956,0.605,17000,63,270
0.25,1.731,0.625,600.5,64,0.7858,0.605,16000,64,286.4
0.25,1.731,0.625,610,65,0.7748,0.605,15000,65,305
0.25,1.731,0.51,515,66,0.8268,0.486,25000,66,124.3
