q_sf_des,cycle_design_power,solar_multiple,h_tower,dni_design_point,receiver_height,receiver_tube_diam,riser_inner_diam,downcomer_inner_diam,hours_tes,dT_approach_charge_hx,dT_approach_ht_disch_hx,dT_approach_lt_disch_hx,Annual energy,Capacity factor,LCOE (real),PPA price (year 1),Annual gross cycle,Annual rec to particle,TOU 1 frac,TOU1 cap fac,TOU 2 frac,TOU2 cap fac,TOU 3 frac,TOU3 cap fac,TOU 4 frac,TOU4 cap fac,Cap fac weighted,Cap fac weighted MIN0,Site improvement,A_sf,N_hel_pre,q_sf_des_pre,total_q_rec_inc,Heliostats,Tower,Receiver,Storage,Power block,Contingency,Recirculator cost,Cycle efficiency,Design CR deltaP,Direct costs subtotal,Indirect costs subtotal,Net capital cost,NPV costs,OM lifetime total,Analysis period,Cost per capacity,Tower height,Charge HX duty,Discharge HX (hot) duty,Discharge HX (cold) duty,Charge HX UA,Discharge HX (hot) UA,Discharge HX (cold) UA,Charge HX effectiveness,Discharge HX (hot) effectiveness,Discharge HX (cold) effectiveness,Charge HX cost,Discharge (hot) HX cost,Discharge (cold) HX cost,Riser cost,Downcomer cost
733.1559366,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,573610914.1,87.6107304,4.975555341,5.983839712,631145761.4,1344628146,0.05890411,106.1651332,0.068721461,101.4785516,0.207534247,102.7703079,0.663926941,93.33295913,0.932220227,0.932220227,15533610.21,1553361.021,21353.30407,733.1559366,1672076.779,116502076.6,12235864.47,6401394.176,64370293.18,49827000,21861762.19,0,0.453217552,2.297290283,334172650.7,31355448.61,397706545.8,470409510.1,127305808.2,30,4890.629569,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,23528332.41,7012465.065,3602446.01,3304796.495,3371390.218
715.1707934,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,575986752.4,87.97360517,5.231350404,6.291617216,635578670.2,1305275765,0.05890411,105.7788385,0.068721461,102.0952753,0.207534247,103.2990223,0.663926941,94.62631379,0.940932795,0.940932795,15186233.28,1518623.328,20875.78345,715.1707934,1596324.974,113896749.6,10398608.85,6530541.645,65748484.47,49827000,21428505.81,0,0.467349339,2.222376479,327550017.4,30759411.61,391096146.9,496641985.6,188889487.8,30,4794.046454,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,25604089.62,7631130.879,3920267.228,5683533.096,5798059.853
716.2218413,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,542885466.4,82.91786482,5.282534369,6.352995138,609016374.6,1397790317,0.05890411,104.616755,0.068721461,99.9910056,0.207534247,101.1442286,0.663926941,89.54395072,0.89818842,0.89818842,15206837.91,1520683.791,20904.10754,716.2218413,1721581.825,114051284.3,10235128.83,4336098.189,85037324.5,49827000,22311269.74,0,0.41632538,2.53089919,341043694.7,31973842.56,405597343.2,472680485.2,116620216.9,30,4990.835454,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,35894900.7,10698239.59,5495903.388,4958879.392,5058803.922
720.2955442,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,553890412.4,84.59871039,6.077343308,7.309068445,610374402.6,1390579830,0.05890411,104.9180628,0.068721461,100.4758116,0.207534247,101.2181057,0.663926941,90.2615274,0.900506658,0.900506658,15286346.99,1528634.699,21013.40448,720.2955442,1726275.206,114647602.5,13407227.3,4859661.716,91996921.46,49827000,23988728.19,0,0.421652334,2.493236729,366684845.2,34281546.12,437623330.6,554823367.6,209673230.4,30,5364.780693,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,33789529.19,10070747.43,5173547.895,3422178.913,3491137.964
728.7557135,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,590888316.1,90.24960245,4.83755699,5.818033952,626316495.7,1229199148,0.05890411,82.57620125,0.068721461,100.8163487,0.207534247,101.6571551,0.663926941,94.91620821,0.927644771,0.927644771,15449657.72,1544965.772,21237.89906,728.7557135,1531611.183,115872432.9,12765016.32,6838519.383,45904182.65,49827000,20063210.5,0,0.492626279,2.104274233,306680503.4,28881155.35,366477874.8,471138530.4,187772078.9,30,4489.689777,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,22811540.73,6798830.01,3492697.334,3059653.679,3121307.62
729.9229244,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,568413719.7,86.81693449,5.273477902,6.342048421,632897509.2,1284816638,0.05890411,100.0011259,0.068721461,100.0834288,0.207534247,102.591344,0.663926941,95.22760028,0.937755674,0.937755674,15471993.76,1547199.376,21268.60323,729.9229244,1565355.551,116039953.2,9284136.528,4811147.539,88676437.7,49827000,23939334.26,0,0.502126866,2.064336803,365929823.7,34213594.17,434637440,494058992.4,101652476.3,30,5353.769614,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,32342761.93,9639547.937,4952031.943,4251445.701,4337114.999
692.7123078,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,558708208.4,85.3345587,5.444739719,6.54807624,627395994.1,1326563881,0.05890411,102.2486585,0.068721461,101.4900209,0.207534247,102.5207774,0.663926941,93.23820854,0.92788399,0.92788399,14737303.25,1473730.325,20258.66286,692.7123078,1576635.41,110529774.4,9097851.624,7827773.635,71249127.07,49827000,23602961,0,0.457147678,2.275806869,360788118.1,33750840.67,429048967.5,501394195,125951005.6,30,5278.784043,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,27976127.67,8338101.253,4283452.297,5374408.841,5482706.55
724.3997102,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,551149781.4,84.18011882,4.922636776,5.9200725,621670550.6,1355758448,0.05890411,105.1800167,0.068721461,101.113582,0.207534247,102.5435519,0.663926941,91.78208004,0.918593142,0.918593142,15365880.08,1536588.008,21122.73439,724.3997102,1684299.683,115244100.6,10447354.03,7218513.383,78338551.53,49827000,22132154.33,0,0.440743326,2.369687856,338305787.6,31727430.93,401592005.5,447182250.7,76501121.14,30,4950.906383,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,30807316.3,9181918.445,4716938.36,4775326.763,4871552.593
686.1087399,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,516050333.8,78.81918833,5.719944811,6.879078239,573702883.6,1454292020,0.05890411,99.56532585,0.068721461,97.88608643,0.207534247,97.87065697,0.663926941,87.36282894,0.841925053,0.841925053,14602234.83,1460223.483,20072.99132,686.1087399,1726789.338,109516761.3,10142159.84,6922190.81,71469760.78,49827000,22609942.41,0,0.383110013,2.802781659,345609119.7,32384730.82,411272082.6,486520369.4,131770603.5,30,5057.416668,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,19584568.01,5837051.969,2998612.382,4186735.339,4271100.682
689.8624428,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,564756221.5,86.2583048,5.07776608,6.106817322,626536582.6,1335871234,0.05890411,103.3356286,0.068721461,101.3416555,0.207534247,102.6743238,0.663926941,92.75779865,0.925908566,0.925908566,14679180.16,1467918.016,20178.76407,689.8624428,1579644.617,110093851.2,11278405.64,5597952.143,85196739.09,49827000,21365565.5,0,0.455186655,2.286489349,326587929.7,30672823.72,389162797.6,472662165.1,147689499.1,30,4780.015567,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,42144991.49,12561038.13,6452860.908,4190465.219,4274905.722
